cell,prompt_id,view,treatment,pair_id,winner,first,state_first,state_second,rep,choice,status,pick_winner,tie,pick_first,p_first,p_winner,prompt_tokens,completion_tokens,cached,model,dropped_params,raw,call_id
neutral|full|base,neutral,full,base,4,A,L,p4_B_2021_base,p4_A_2021_base,0,1,ok,0.0,0,1,0.9859363730988039,0.014063626901196113,859,1,False,gpt-4o-mini-2024-07-18,,1,901a6e783b01a8a69823d68e
neutral|full|base,neutral,full,base,1,A,L,p1_B_2021_base,p1_A_2021_base,0,1,ok,0.0,0,1,0.9399133487740403,0.060086651225959686,849,1,False,gpt-4o-mini-2024-07-18,,1,5c46a3ccbb562b7676faa727
neutral|full|base,neutral,full,base,1,A,W,p1_A_2021_base,p1_B_2021_base,0,1,ok,1.0,0,1,0.9997388096110635,0.9997388096110635,849,1,False,gpt-4o-mini-2024-07-18,,1,a621a3403fd89a863c3e7b63
neutral|full|base,neutral,full,base,2,A,L,p2_B_2021_base,p2_A_2021_base,0,1,ok,0.0,0,1,0.999088948815348,0.0009110511846519564,855,1,False,gpt-4o-mini-2024-07-18,,1,292ad54dacecfeefbf5ab9d2
neutral|full|base,neutral,full,base,3,A,L,p3_B_2021_base,p3_A_2021_base,0,1,ok,0.0,0,1,0.7772998663336158,0.2227001336663842,998,1,False,gpt-4o-mini-2024-07-18,,1,8b4ffa46307c0c0d31b6b334
neutral|full|base,neutral,full,base,4,A,W,p4_A_2021_base,p4_B_2021_base,0,1,ok,1.0,0,1,0.9998204721063857,0.9998204721063857,859,1,False,gpt-4o-mini-2024-07-18,,1,a7033d0e242086ce9b2fff24
neutral|full|base,neutral,full,base,2,A,W,p2_A_2021_base,p2_B_2021_base,0,1,ok,1.0,0,1,0.7772998560157663,0.7772998560157663,855,1,False,gpt-4o-mini-2024-07-18,,1,75ed5229e34ca2f54e2729d9
neutral|full|base,neutral,full,base,3,A,W,p3_A_2021_base,p3_B_2021_base,0,1,ok,1.0,0,1,0.9997694932950998,0.9997694932950998,998,1,False,gpt-4o-mini-2024-07-18,,1,fae6a00ebe036f9dea4f9314
neutral|full|base,neutral,full,base,8,A,W,p8_A_2021_base,p8_B_2021_base,0,1,ok,1.0,0,1,0.9241418199787564,0.9241418199787564,690,1,False,gpt-4o-mini-2024-07-18,,1,067bb56570ca3ee0b7125bd7
neutral|full|base,neutral,full,base,5,A,W,p5_A_2021_base,p5_B_2021_base,0,1,ok,1.0,0,1,0.9999546021226107,0.9999546021226107,1171,1,False,gpt-4o-mini-2024-07-18,,1,17494f0bc5f3431c165601a3
