persona_id,source,psid_index,latent_ability,group,name,email,trait_Age,trait_Sex,trait_Education,trait_Class of Worker,trait_Marital Status,trait_Place of Birth,trait_Big Five Scores 1,trait_Big Five Scores 2,trait_Defining Quirks,trait_Personal Time,trait_Lifestyle,trait_Political Views,trait_Fertility,trait_Income Bracket,trait_Housing Situation,trait_Relationship with Technology,trait_Hobbies,trait_Communication Style,trait_Risk Tolerance,trait_Travel Frequency,trait_Pet Ownership,trait_Prior Occupation,trait_Industry
0,psid,71,1.8584114624132027,,,,40,Male,Bachelor's Degree,Public,Single,New York,High openness,High agreeableness,Loves puzzles,Traveling,Active,Green,Has children,Middle income,Owns home,Tech-savvy,Crafting,Open,Risk-averse,Never travels,No pets,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
1,psid,83,-1.6567353006370062,,,,40,Female,Bachelor's Degree,Private,Married,Connecticut,High agreeableness,High openness,Loves puzzles,Traveling,Laid-back,Green,Has children,Middle income,Owns home,Tech-savvy,Hiking,Humorous,High risk-taker,Never travels,Owns a dog,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
2,psid,0,1.9114901374969189,,,,38,Female,Bachelor's Degree,Public,Single,New York,High conscientiousness,High openness,Very social,Playing sports,Laid-back,Independent,Planning to have children,Middle income,Rents,Tech-savvy,Photography,Direct,Risk-averse,Never travels,Owns other pets,Biological and life scientists,"Professional, Scientific, and Technical Services"
3,psid,7,0.8154595913688456,,,,40,Male,Master's Degree,Public,Single,New Jersey,High openness,High agreeableness,Loves puzzles,Playing sports,Laid-back,Democrat,Does not have children,Middle income,Owns home,Tech-savvy,Hiking,Direct,Risk-averse,Frequent traveler,Owns a dog,Management analysts,"Professional, Scientific, and Technical Services"
4,psid,7,0.4551758035741979,,,,40,Male,Master's Degree,Private,Divorced,Florida,High neuroticism,High openness,Introverted,Reading,Sedentary,Republican,Planning to have children,Middle income,Owns home,Tech-savvy,Gardening,Diplomatic,Moderate risk-taker,Frequent traveler,Owns other pets,Management analysts,"Professional, Scientific, and Technical Services"
5,psid,65,0.538912165929888,,,,42,Male,Master's Degree,Public,Single,Pennsylvania,High extraversion,High conscientiousness,Loves puzzles,Reading,Balanced,Democrat,Does not have children,Middle income,Owns home,Tech-savvy,Hiking,Humorous,Risk-averse,Rare traveler,Owns a dog,Computer programmers,"Professional, Scientific, and Technical Services"
6,psid,17,-0.7042810649178002,,,,35,Male,Bachelor's Degree,Private,Divorced,Florida,High neuroticism,High openness,Loves puzzles,Playing sports,Workaholic,Democrat,Does not have children,Middle income,Owns home,Tech-savvy,Gardening,Reserved,Risk-averse,Frequent traveler,Owns a dog,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
7,psid,32,-1.221446726090408,,,,31,Male,Bachelor's Degree,Private,Single,Connecticut,High openness,High openness,Loves puzzles,Reading,Laid-back,Independent,Undecided,Middle income,Owns home,Tech-savvy,Hiking,Direct,High risk-taker,Occasional traveler,Owns a cat,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
8,psid,39,-0.18235834281787666,,,,37,Male,Master's Degree,Private,Married,Canada,High neuroticism,High conscientiousness,Extremely organized,Traveling,Workaholic,Green,Undecided,Middle income,Rents,Tech-savvy,Crafting,Reserved,Risk-averse,Occasional traveler,Owns other pets,Biological and life scientists,"Professional, Scientific, and Technical Services"
9,psid,60,0.08467996253811215,,,,26,Female,Bachelor's Degree,Private,Divorced,Florida,High neuroticism,High neuroticism,Always punctual,Playing sports,Active,Independent,Undecided,Middle income,Owns home,Tech-savvy,Crafting,Humorous,Moderate risk-taker,Occasional traveler,Owns a cat,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
