pair_id,who,t,winner,salary,level,moves,arm
0,A,0,A,226800.00000000003,4,0,baseline
0,B,0,A,201100.0,3,0,baseline
0,A,1,A,236107.15851016602,4,0,baseline
0,B,1,A,210168.59059811616,3,0,baseline
0,A,2,A,277872.39169917203,4,1,baseline
0,B,2,A,220638.97580236287,3,0,baseline
0,A,3,A,294892.9368159504,4,1,baseline
0,B,3,A,229659.21368572226,3,1,baseline
0,A,4,A,307335.72293029155,4,2,baseline
0,B,4,A,222362.97913370933,3,1,baseline
0,A,5,A,322917.76376726775,4,2,baseline
0,B,5,A,234453.67874510368,3,1,baseline
0,A,6,A,349004.29666217143,4,2,baseline
0,B,6,A,250107.22502759917,3,2,baseline
0,A,7,A,351643.5326515905,4,2,baseline
0,B,7,A,267704.3240474269,4,3,baseline
0,A,8,A,356562.86465166695,4,2,baseline
0,B,8,A,286121.86996449204,4,4,baseline
0,A,9,A,358154.7722865846,4,3,baseline
0,B,9,A,304499.7199765648,4,4,baseline
0,A,10,A,354207.05171053484,4,3,baseline
0,B,10,A,319844.51835488697,4,5,baseline
0,A,11,A,366897.83805596526,4,3,baseline
0,B,11,A,324636.8202543911,4,5,baseline
0,A,12,A,388059.74500231264,4,3,baseline
0,B,12,A,348518.45394471305,4,5,baseline
0,A,13,A,412353.7079436999,4,3,baseline
0,B,13,A,367669.42343729397,4,6,baseline
0,A,14,A,418219.28638509824,4,3,baseline
0,B,14,A,389308.3280128743,4,7,baseline
0,A,15,A,449679.13172075973,4,3,baseline
0,B,15,A,392444.95021858235,4,7,baseline
0,A,16,A,458743.6069892835,4,3,baseline
0,B,16,A,404055.827755826,4,7,baseline
0,A,17,A,499932.1806584614,4,4,baseline
0,B,17,A,413272.9928260528,4,7,baseline
0,A,18,A,519673.3560702976,4,4,baseline
0,B,18,A,428629.7326765949,4,7,baseline
0,A,19,A,529271.0661731387,4,4,baseline
0,B,19,A,449180.6865277065,4,8,baseline
0,A,20,A,540008.8063101115,4,5,baseline
0,B,20,A,440301.4016953457,4,8,baseline
1,A,0,B,133600.0,2,0,baseline
1,B,0,B,148176.0,3,0,baseline
1,A,1,B,134078.8470985107,2,0,baseline
1,B,1,B,153719.2980536415,3,0,baseline
1,A,2,B,134551.20875170434,2,0,baseline
1,B,2,B,196498.50856338706,4,1,baseline
1,A,3,B,167846.7466759047,3,1,baseline
1,B,3,B,211519.06962797965,4,1,baseline
1,A,4,B,179080.54499481551,3,1,baseline
1,B,4,B,212549.2799657389,4,1,baseline
1,A,5,B,193562.45961045416,3,2,baseline
1,B,5,B,230083.34163979572,4,1,baseline
1,A,6,B,197503.05936549374,3,2,baseline
1,B,6,B,247606.23823524214,4,2,baseline
1,A,7,B,187558.38329683727,3,3,baseline
1,B,7,B,256943.15591459538,4,3,baseline
1,A,8,B,212642.89437346678,4,4,baseline
1,B,8,B,265993.35497622704,4,4,baseline
1,A,9,B,218521.37837030404,4,4,baseline
1,B,9,B,286891.07964965014,4,4,baseline
1,A,10,B,227882.47999508347,4,5,baseline
1,B,10,B,309573.2111851506,4,4,baseline
1,A,11,B,245294.52369941506,4,5,baseline
1,B,11,B,322534.62839454896,4,4,baseline
1,A,12,B,242853.45645327674,4,5,baseline
1,B,12,B,356719.64182791335,4,4,baseline
1,A,13,B,247330.70305000152,4,5,baseline
1,B,13,B,380077.51160353725,4,4,baseline
1,A,14,B,265820.63524472504,4,6,baseline
1,B,14,B,379489.3687019554,4,4,baseline
1,A,15,B,286616.4596894829,4,6,baseline
1,B,15,B,391786.5065829142,4,4,baseline
1,A,16,B,300688.7300270403,4,6,baseline
1,B,16,B,402231.2272059071,4,5,baseline
1,A,17,B,327981.868285559,4,6,baseline
1,B,17,B,410482.6885026643,4,5,baseline
1,A,18,B,349331.4962245038,4,6,baseline
1,B,18,B,432696.5327005276,4,6,baseline
1,A,19,B,363081.6139211407,4,6,baseline
1,B,19,B,469825.462762518,4,7,baseline
1,A,20,B,387903.43040689256,4,6,baseline
1,B,20,B,498981.2067558907,4,7,baseline
2,A,0,A,249088.00000000003,4,0,baseline
2,B,0,A,219900.0,3,0,baseline
2,A,1,A,266204.5670028114,4,1,baseline
2,B,1,A,220989.42671594402,3,0,baseline
2,A,2,A,282485.22908007784,4,1,baseline
2,B,2,A,232265.07745022813,3,0,baseline
2,A,3,A,283922.71352915093,4,1,baseline
2,B,3,A,248933.12134221641,4,1,baseline
