[NAME]  
[EMAIL]  

**Professional Summary**  
Highly organized and tech-savvy software engineer with over a decade of experience in platform engineering. Known for delivering reliable and scalable solutions, with a strong focus on detail and efficiency, and a passion for continuous improvement.

**Education**  
Master's Degree in Computer Science, Stony Brook University, 2009  

**Work History**

**Platform Engineer**, Centil, Hartford, CT, US (2009–2014)  
Annual salary: $110,100  
- Developed and maintained scalable platform architecture, enhancing system performance by 30%.  
- Collaborated with cross-functional teams to integrate new software features, reducing deployment times by 20%.  

**Senior Platform Engineer**, Quality Theorem, Troy, NY, US (2014–2017)  
Annual salary: $141,400  
- Led a team of 5 engineers to complete a major platform migration project, resulting in a 25% increase in system efficiency.  
- Enhanced platform security protocols, reducing vulnerabilities by 40%.  

**Senior Platform Engineer**, Daikin, Troy, NY, US (2017–2021)  
Annual salary: $143,700  
- Implemented a new monitoring system that improved system uptime by 15%.  
- Spearheaded the redesign of platform infrastructure, increasing data processing speed by 20%.  

**Staff Platform Engineer**, Jacksonville Sheriff's Office, Franklin Lakes, NJ, US (2021–Present)  
Annual salary: $160,900  
- Overhauled legacy systems, improving operational efficiency by 30%.  
- Pioneered automation processes that reduced manual tasks by 50%, leading to substantial time savings.
