cell,prompt_id,view,treatment,pair_id,winner,first,state_first,state_second,rep,choice,status,pick_winner,tie,pick_first,p_first,p_winner,prompt_tokens,completion_tokens,cached,model,dropped_params,raw,call_id
neutral|full|both,neutral,full,both,3,A,W,p3_A_2022_both,p3_B_2022_loser,0,1,ok,1.0,0,1,0.999999922655772,0.999999922655772,1083,1,True,gpt-4o-mini-2024-07-18,,1,a0087c51af866c48c5482c14
neutral|full|both,neutral,full,both,2,B,W,p2_B_2022_both,p2_A_2022_loser,0,1,ok,1.0,0,1,0.9999999895325983,0.9999999895325983,939,1,True,gpt-4o-mini-2024-07-18,,1,9c70f738028e5b076443daac
neutral|full|both,neutral,full,both,1,A,W,p1_A_2022_both,p1_B_2022_loser,0,1,ok,1.0,0,1,0.9999994284997149,0.9999994284997149,940,1,True,gpt-4o-mini-2024-07-18,,1,2fe82b7797ea1cad5c2976ab
neutral|full|both,neutral,full,both,4,B,L,p4_A_2022_loser,p4_B_2022_both,0,2,ok,1.0,0,0,0.43782349911420193,0.5621765008857981,947,1,True,gpt-4o-mini-2024-07-18,,2,f0d1c8e62863e33e91017134
neutral|full|both,neutral,full,both,1,A,L,p1_B_2022_loser,p1_A_2022_both,0,2,ok,1.0,0,0,0.0373268872102664,0.9626731127897336,940,1,True,gpt-4o-mini-2024-07-18,,2,db0f108895c26e17a7de9186
neutral|full|both,neutral,full,both,3,A,L,p3_B_2022_loser,p3_A_2022_both,0,2,ok,1.0,0,0,5.42221743297629e-06,0.9999945777825671,1083,1,True,gpt-4o-mini-2024-07-18,,2,6ac66cf3dd03d157cdb3561c
neutral|full|both,neutral,full,both,2,B,L,p2_A_2022_loser,p2_B_2022_both,0,2,ok,1.0,0,0,5.8291276786344415e-05,0.9999417087232136,939,1,True,gpt-4o-mini-2024-07-18,,2,75d6677f9a9cfd60948119eb
neutral|full|both,neutral,full,both,4,B,W,p4_B_2022_both,p4_A_2022_loser,0,1,ok,1.0,0,1,0.9999995549151272,0.9999995549151272,947,1,True,gpt-4o-mini-2024-07-18,,1,d53da38886e3b437c4b46810
neutral|full|both,neutral,full,both,5,A,W,p5_A_2022_both,p5_B_2022_loser,0,1,ok,1.0,0,1,0.999999997664407,0.999999997664407,1252,1,True,gpt-4o-mini-2024-07-18,,1,0e50dbe33eaf9535e3c153dc
neutral|full|both,neutral,full,both,5,A,L,p5_B_2022_loser,p5_A_2022_both,0,2,ok,1.0,0,0,0.0001584362468454316,0.9998415637531546,1252,1,True,gpt-4o-mini-2024-07-18,,2,da578768705fb6a246ba8163
