cell,prompt_id,view,treatment,pair_id,winner,first,state_first,state_second,rep,choice,status,pick_winner,tie,pick_first,p_first,p_winner,prompt_tokens,completion_tokens,cached,model,dropped_params,raw,call_id
neutral|full|move,neutral,full,move,2,B,W,p2_B_2022_move,p2_A_2022_loser,0,1,ok,1.0,0,1,0.998073265212425,0.998073265212425,945,1,False,gpt-4o-mini-2024-07-18,,1,6e95b6830e3386d923284189
neutral|full|move,neutral,full,move,4,B,L,p4_A_2022_loser,p4_B_2022_move,0,1,ok,0.0,0,1,0.9999546021280177,4.539787198232226e-05,949,1,False,gpt-4o-mini-2024-07-18,,1,451dcfe68055fad8d2e2853a
neutral|full|move,neutral,full,move,2,B,L,p2_A_2022_loser,p2_B_2022_move,0,1,ok,0.0,0,1,0.9992903294899417,0.0007096705100583245,945,1,False,gpt-4o-mini-2024-07-18,,1,e689da99618a2f53c2c89e3e
neutral|full|move,neutral,full,move,4,B,W,p4_B_2022_move,p4_A_2022_loser,0,1,ok,1.0,0,1,0.9046505351008904,0.9046505351008904,949,1,False,gpt-4o-mini-2024-07-18,,1,fad256830c9786aa7d98ff1a
neutral|full|move,neutral,full,move,3,A,W,p3_A_2022_move,p3_B_2022_loser,0,1,ok,1.0,0,1,0.998498817795438,0.998498817795438,1086,1,False,gpt-4o-mini-2024-07-18,,1,51d61f12539d883a48a4d25f
neutral|full|move,neutral,full,move,3,A,L,p3_B_2022_loser,p3_A_2022_move,0,1,ok,0.0,0,1,0.9990889485984403,0.0009110514015596705,1086,1,False,gpt-4o-mini-2024-07-18,,1,97fc2b842dce188e18951200
neutral|full|move,neutral,full,move,1,A,L,p1_B_2022_loser,p1_A_2022_move,0,1,ok,0.0,0,1,0.9997694932126664,0.0002305067873336064,943,1,False,gpt-4o-mini-2024-07-18,,1,4cc82631a5956e9b409d3dcc
neutral|full|move,neutral,full,move,1,A,W,p1_A_2022_move,p1_B_2022_loser,0,1,ok,1.0,0,1,0.9998204721063936,0.9998204721063936,943,1,False,gpt-4o-mini-2024-07-18,,1,b037faed02cc110dd05cb047
neutral|full|move,neutral,full,move,7,A,L,p7_B_2022_loser,p7_A_2022_move,0,1,ok,0.0,0,1,0.8175744828610095,0.18242551713899047,646,1,False,gpt-4o-mini-2024-07-18,,1,89711dde7ceb740941f4d6d4
neutral|full|move,neutral,full,move,8,B,W,p8_B_2022_move,p8_A_2022_loser,0,1,ok,1.0,0,1,0.9998415637154094,0.9998415637154094,775,1,False,gpt-4o-mini-2024-07-18,,1,e0d08cec67b69b3a20562bb1
neutral|full|move,neutral,full,move,6,B,W,p6_B_2022_move,p6_A_2022_loser,0,1,ok,1.0,0,1,0.9980732654705463,0.9980732654705463,823,1,False,gpt-4o-mini-2024-07-18,,1,13d78653d4366bd5efa89a01
neutral|full|move,neutral,full,move,5,A,L,p5_B_2022_loser,p5_A_2022_move,0,1,ok,0.0,0,1,0.9947798738276535,0.005220126172346462,1264,1,False,gpt-4o-mini-2024-07-18,,1,87b04643e44b7a1287be784e
neutral|full|move,neutral,full,move,5,A,W,p5_A_2022_move,p5_B_2022_loser,0,1,ok,1.0,0,1,0.9996646497472332,0.9996646497472332,1264,1,False,gpt-4o-mini-2024-07-18,,1,a643091c8d4dd98c7ee7eaab
neutral|full|move,neutral,full,move,7,A,W,p7_A_2022_move,p7_B_2022_loser,0,2,ok,0.0,0,0,0.07585817427579647,0.07585817427579647,646,1,False,gpt-4o-mini-2024-07-18,,2,595305a194b7a3332aed7b93
neutral|full|move,neutral,full,move,8,B,L,p8_A_2022_loser,p8_B_2022_move,0,1,ok,0.0,0,1,0.9997965731087306,0.00020342689126939817,775,1,False,gpt-4o-mini-2024-07-18,,1,07eca0c0eb4914bb6f7eef06
neutral|full|move,neutral,full,move,12,A,W,p12_A_2022_move,p12_B_2022_loser,0,2,ok,0.0,0,0,0.22270014914315836,0.22270014914315836,702,1,False,gpt-4o-mini-2024-07-18,,2,8bbdd17c159bf0f120e9333f
neutral|full|move,neutral,full,move,11,B,L,p11_A_2022_loser,p11_B_2022_move,0,1,ok,0.0,0,1,0.9988304895217126,0.0011695104782873944,794,1,False,gpt-4o-mini-2024-07-18,,1,a1382a8ca54d4892f2124dd4
neutral|full|move,neutral,full,move,10,A,W,p10_A_2022_move,p10_B_2022_loser,0,2,ok,0.0,0,0,0.022977369366426907,0.022977369366426907,580,1,False,gpt-4o-mini-2024-07-18,,2,d8cfd5b31883d91f5269ec05
neutral|full|move,neutral,full,move,10,A,L,p10_B_2022_loser,p10_A_2022_move,0,1,ok,0.0,0,1,0.9770226280828406,0.022977371917159428,580,1,False,gpt-4o-mini-2024-07-18,,1,1e2b0926b79a7e8f7569aefa
neutral|full|move,neutral,full,move,11,B,W,p11_B_2022_move,p11_A_2022_loser,0,1,ok,1.0,0,1,0.9996646498271504,0.9996646498271504,794,1,False,gpt-4o-mini-2024-07-18,,1,8299e0787ea5e47e79e3c6cf
neutral|full|move,neutral,full,move,12,A,L,p12_B_2022_loser,p12_A_2022_move,0,1,ok,0.0,0,1,0.999992110734949,7.889265051019834e-06,702,1,False,gpt-4o-mini-2024-07-18,,1,bea8f37d7f44765531620ae6
neutral|full|move,neutral,full,move,6,B,L,p6_A_2022_loser,p6_B_2022_move,0,1,ok,0.0,0,1,0.9820137939529312,0.017986206047068798,823,1,False,gpt-4o-mini-2024-07-18,,1,21fcc91774dc25aa46e5f3dc
neutral|full|move,neutral,full,move,13,B,W,p13_B_2022_move,p13_A_2022_loser,0,1,ok,1.0,0,1,0.5,0.5,712,1,False,gpt-4o-mini-2024-07-18,,1,5cf6f0c7b201725062f87e12
neutral|full|move,neutral,full,move,14,A,L,p14_B_2022_loser,p14_A_2022_move,0,1,ok,0.0,0,1,0.9999962733595509,3.7266404491198557e-06,872,1,False,gpt-4o-mini-2024-07-18,,1,c8b015e7a82d35db3af33412
neutral|full|move,neutral,full,move,15,B,W,p15_B_2022_move,p15_A_2022_loser,0,1,ok,1.0,0,1,0.9992903297435182,0.9992903297435182,687,1,False,gpt-4o-mini-2024-07-18,,1,679a6dd4fe94203f3859fcc1
neutral|full|move,neutral,full,move,14,A,W,p14_A_2022_move,p14_B_2022_loser,0,2,ok,0.0,0,0,0.37754066179448903,0.37754066179448903,872,1,False,gpt-4o-mini-2024-07-18,,2,7e89c0f9dcd4482ee63c5f27
neutral|full|move,neutral,full,move,15,B,L,p15_A_2022_loser,p15_B_2022_move,0,1,ok,0.0,0,1,0.9999339478819342,6.60521180657625e-05,687,1,False,gpt-4o-mini-2024-07-18,,1,36f11beb8c5d6fc47bca8497
neutral|full|move,neutral,full,move,13,B,L,p13_A_2022_loser,p13_B_2022_move,0,1,ok,0.0,0,1,0.9998601778659106,0.0001398221340893624,712,1,False,gpt-4o-mini-2024-07-18,,1,3b64922c87317538a150cbbf
neutral|full|move,neutral,full,move,16,A,W,p16_A_2022_move,p16_B_2022_loser,0,1,ok,1.0,0,1,0.9046505286741726,0.9046505286741726,1255,1,False,gpt-4o-mini-2024-07-18,,1,7555d57d8ffbd272a51d5d93
neutral|full|move,neutral,full,move,18,A,W,p18_A_2022_move,p18_B_2022_loser,0,1,ok,1.0,0,1,0.9968273165676951,0.9968273165676951,538,1,False,gpt-4o-mini-2024-07-18,,1,5bfd895543b1d2c9b5bd57c5
neutral|full|move,neutral,full,move,18,A,L,p18_B_2022_loser,p18_A_2022_move,0,1,ok,0.0,0,1,0.8807970748488297,0.11920292515117026,538,1,False,gpt-4o-mini-2024-07-18,,1,fc0569a2f54d1d51c095be28
neutral|full|move,neutral,full,move,16,A,L,p16_B_2022_loser,p16_A_2022_move,0,1,ok,0.0,0,1,0.9999994284996467,5.715003532635876e-07,1255,1,False,gpt-4o-mini-2024-07-18,,1,09717e0f23f9025714daeb6a
neutral|full|move,neutral,full,move,17,B,L,p17_A_2022_loser,p17_B_2022_move,0,1,ok,0.0,0,1,0.9999938558271398,6.144172860156338e-06,982,1,False,gpt-4o-mini-2024-07-18,,1,9d14307a492a4b910b37029e
neutral|full|move,neutral,full,move,19,B,W,p19_B_2022_move,p19_A_2022_loser,0,1,ok,1.0,0,1,0.9995694428306839,0.9995694428306839,965,1,False,gpt-4o-mini-2024-07-18,,1,f9d9b298329b827d9da5117f
neutral|full|move,neutral,full,move,17,B,W,p17_B_2022_move,p17_A_2022_loser,0,1,ok,1.0,0,1,0.9997388097355838,0.9997388097355838,982,1,False,gpt-4o-mini-2024-07-18,,1,9ac2652e569869a18fb838e2
neutral|full|move,neutral,full,move,19,B,L,p19_A_2022_loser,p19_B_2022_move,0,1,ok,0.0,0,1,0.9999485577702917,5.1442229708320575e-05,965,1,False,gpt-4o-mini-2024-07-18,,1,be0ef5328f791d85c7bf7b43
neutral|full|move,neutral,full,move,20,A,L,p20_B_2022_loser,p20_A_2022_move,0,1,ok,0.0,0,1,0.9999999123574981,8.764250192250245e-08,646,1,False,gpt-4o-mini-2024-07-18,,1,78ba060784a55998c530f47d
neutral|full|move,neutral,full,move,20,A,W,p20_A_2022_move,p20_B_2022_loser,0,2,ok,0.0,0,0,0.00857748559586935,0.00857748559586935,646,1,False,gpt-4o-mini-2024-07-18,,2,4881e701d897dd0f90d5a968
neutral|full|move,neutral,full,move,21,B,L,p21_A_2022_loser,p21_B_2022_move,0,1,ok,0.0,0,1,0.9999546021171972,4.53978828027779e-05,1239,1,False,gpt-4o-mini-2024-07-18,,1,c2384e26589124df0e95863d
