arm,seed,gap_t0_pct,gap_pct,winner_ahead_pct,amplification,group_gap_pct,t_stat
"baseline (fair coin, memory on)",0,12.052974014610268,16.019274116521554,73.75,1.3056600720542755,1.6179851069391324,11.241370028613263
no anchoring,0,12.052974014610268,1.765002603819571,49.5,0.153741950947713,2.016321266299719,1.5959671242360038
no ladder,0,12.052974014610268,12.087358830348279,70.25,1.002696053392379,0.09239336008873697,10.470514762868023
no wage compounding,0,12.052974014610268,11.263060198854893,65.75,0.9378353617544589,1.8439979225432497,8.29595493594906
no memory (fair coin),0,12.052974014610268,-0.05801636331140475,50.0,-0.005099508431871092,1.2144431729212832,-0.05366849121668772
"always A, memory on",0,11.951913631021881,15.068932774860144,71.0,1.2432427812274645,15.068932774860144,10.41450412283927
"always A, no memory",0,11.951913631021881,1.2144431729212832,53.0,0.1069208141321019,1.2144431729212832,1.1180826350124624
"baseline (fair coin, memory on)",1,12.054191940372874,15.11970895475295,70.0,1.2371439104790865,-1.3558710024090959,11.522126226958274
no anchoring,1,12.054191940372874,2.2182661850428076,53.75,0.19277513528172255,-1.7259178996388798,2.0508624895497762
no ladder,1,12.054191940372874,11.7270538898575,73.25,0.9743109524587785,-2.2728096239117934,11.024204796811443
no wage compounding,1,12.054191940372874,10.399830068789424,67.0,0.8693111381434482,-1.288808862850344,8.448081541692245
no memory (fair coin),1,12.054191940372874,-0.5549810693562519,50.74999999999999,-0.04889859885687669,-1.4843508449532103,-0.5412906722347701
"always A, memory on",1,11.997621397832877,12.281508691056155,65.5,1.0223423505810862,12.281508691056155,9.608470582291693
"always A, no memory",1,11.997621397832877,-1.4564352680931452,45.25,-0.12948358083393746,-1.4564352680931452,-1.4289323392036994
"baseline (fair coin, memory on)",2,12.070819447653397,15.454722058896254,71.5,1.2610322831807748,1.059898112692438,11.063251927995822
no anchoring,2,12.070819447653397,1.750207873782287,53.0,0.15225130937342526,1.6904859427698906,1.6538124553108426
no ladder,2,12.070819447653397,12.383443232364234,70.5,1.024443812205007,-0.29765433830325605,10.825540645936714
no wage compounding,2,12.070819447653397,11.515835473859038,69.25,0.956437784966235,1.2419729913174578,8.645128385379351
no memory (fair coin),2,12.070819447653397,1.2108038404421173,51.74999999999999,0.10560931719545613,2.4605545051095756,1.1716030276150422
"always A, memory on",2,11.919879688798694,14.486618035757163,71.0,1.201350410342278,14.486618035757163,10.784273428695707
"always A, no memory",2,11.919879688798694,2.4605545051095756,55.25,0.21585153976475321,2.4605545051095756,2.3789166748059887
"baseline (fair coin, memory on)",3,11.967432377760744,15.312643645466311,72.0,1.2604351594640373,-0.35941335451004236,11.492136840890371
no anchoring,3,11.967432377760744,2.263119740781165,54.50000000000001,0.19797712901115921,0.7611787649533258,2.1695815375668652
no ladder,3,11.967432377760744,10.754310479773867,68.75,0.9036277082360843,-0.01754748133859549,10.092181213325023
no wage compounding,3,11.967432377760744,10.72450699986934,66.25,0.901246809915809,-1.005932177746145,8.560100510945649
no memory (fair coin),3,11.967432377760744,-1.3122464061048666,46.0,-0.11685752216319913,1.1740348865994261,-1.2523640938612004
"always A, memory on",3,11.9296497197602,13.082755025987494,69.5,1.0909433613334247,13.082755025987494,10.153324201529378
"always A, no memory",3,11.9296497197602,1.2027037485654553,52.0,0.1060802941862082,1.2027037485654553,1.1301037862228653
"baseline (fair coin, memory on)",4,11.976741189178117,12.117220757945745,66.0,1.0110833192614868,-2.09091223265157,9.148416578464
no anchoring,4,11.976741189178117,0.2886536760564365,50.5,0.025480492749548507,-1.1177861016871844,0.28305043083643344
no ladder,4,11.976741189178117,10.293380880202275,68.5,0.8660967633510352,-1.2867037409949222,8.9687617417859
no wage compounding,4,11.976741189178117,8.242033817512793,62.74999999999999,0.7001316336994443,-1.7449679169132142,6.741329649590398
no memory (fair coin),4,11.976741189178117,-1.134410969892006,47.75,-0.10085612162565322,-2.8019604461406593,-1.0898591190099514
"always A, memory on",4,11.902796578226555,10.472874550411476,66.75,0.8856433664586174,10.472874550411476,7.909406574809691
"always A, no memory",4,11.902796578226555,-2.7904870303866045,46.25,-0.25165839729754663,-2.7904870303866045,-2.723573256895566
"baseline (fair coin, memory on)",5,12.023411124266916,13.548038805380836,70.5,1.1190628350327292,0.2234567082077092,10.988992853688444
no anchoring,5,12.023411124266916,1.7297614881517307,52.5,0.15104864342327998,1.54392685047505,1.6715246328603537
no ladder,5,12.023411124266916,9.35373753776124,65.75,0.7875599641547281,0.2182572107811107,9.01386404878166
no wage compounding,5,12.023411124266916,8.914425941160717,66.0,0.7521053473187698,-0.05109854704785821,7.49403790527451
no memory (fair coin),5,12.023411124266916,0.06254083443560372,49.75,0.005506654667500549,-0.03520054050686469,0.058725469399089576
"always A, memory on",5,11.923305968816965,13.999687523556773,72.0,1.163185705088288,13.999687523556773,11.503025350884766
"always A, no memory",5,11.923305968816965,-0.03520054050686469,49.25,-0.003125495947524384,-0.03520054050686469,-0.03306915474501667
