cell,prompt_id,view,treatment,pair_id,winner,first,state_first,state_second,rep,choice,status,pick_winner,tie,pick_first,p_first,p_winner,prompt_tokens,completion_tokens,cached,model,dropped_params,raw,call_id
neutral|full|base,neutral,full,base,1,A,W,p1_A_2021_base,p1_B_2021_base,0,1.0,ok,1.0,0.0,1.0,0.9997388096110635,0.9997388096110635,849,1,True,gpt-4o-mini-2024-07-18,,1,a621a3403fd89a863c3e7b63
neutral|full|base,neutral,full,base,1,A,L,p1_B_2021_base,p1_A_2021_base,0,1.0,ok,0.0,0.0,1.0,0.9399133487740403,0.060086651225959686,849,1,True,gpt-4o-mini-2024-07-18,,1,5c46a3ccbb562b7676faa727
neutral|full|base,neutral,full,base,2,A,W,p2_A_2021_base,p2_B_2021_base,0,1.0,ok,1.0,0.0,1.0,0.7772998560157663,0.7772998560157663,855,1,True,gpt-4o-mini-2024-07-18,,1,75ed5229e34ca2f54e2729d9
neutral|full|base,neutral,full,base,2,A,L,p2_B_2021_base,p2_A_2021_base,0,1.0,ok,0.0,0.0,1.0,0.999088948815348,0.0009110511846519564,855,1,True,gpt-4o-mini-2024-07-18,,1,292ad54dacecfeefbf5ab9d2
neutral|full|base,neutral,full,base,3,A,W,p3_A_2021_base,p3_B_2021_base,0,1.0,ok,1.0,0.0,1.0,0.9997694932950998,0.9997694932950998,998,1,True,gpt-4o-mini-2024-07-18,,1,fae6a00ebe036f9dea4f9314
neutral|full|base,neutral,full,base,3,A,L,p3_B_2021_base,p3_A_2021_base,0,1.0,ok,0.0,0.0,1.0,0.7772998663336158,0.2227001336663842,998,1,True,gpt-4o-mini-2024-07-18,,1,8b4ffa46307c0c0d31b6b334
neutral|full|base,neutral,full,base,4,A,W,p4_A_2021_base,p4_B_2021_base,0,1.0,ok,1.0,0.0,1.0,0.9998204721063857,0.9998204721063857,859,1,True,gpt-4o-mini-2024-07-18,,1,a7033d0e242086ce9b2fff24
neutral|full|base,neutral,full,base,5,A,W,p5_A_2021_base,p5_B_2021_base,0,1.0,ok,1.0,0.0,1.0,0.9999546021226107,0.9999546021226107,1171,1,True,gpt-4o-mini-2024-07-18,,1,17494f0bc5f3431c165601a3
neutral|full|base,neutral,full,base,5,A,L,p5_B_2021_base,p5_A_2021_base,0,1.0,ok,0.0,0.0,1.0,0.9933071490323748,0.006692850967625175,1171,1,True,gpt-4o-mini-2024-07-18,,1,cef01cbd8ea0e94febd02b00
neutral|full|base,neutral,full,base,4,A,L,p4_B_2021_base,p4_A_2021_base,0,1.0,ok,0.0,0.0,1.0,0.9859363730988039,0.014063626901196113,859,1,True,gpt-4o-mini-2024-07-18,,1,901a6e783b01a8a69823d68e
neutral|full|base,neutral,full,base,6,A,W,p6_A_2021_base,p6_B_2021_base,0,2.0,ok,0.0,0.0,0.0,0.07585817532042317,0.07585817532042317,729,1,True,gpt-4o-mini-2024-07-18,,2,473dd0f8ec2036d65e6a2844
neutral|full|base,neutral,full,base,6,A,L,p6_B_2021_base,p6_A_2021_base,0,1.0,ok,0.0,0.0,1.0,0.9998415637154371,0.0001584362845629128,729,1,True,gpt-4o-mini-2024-07-18,,1,cfd39e19febbbade01b7e0cf
neutral|full|base,neutral,full,base,7,A,W,p7_A_2021_base,p7_B_2021_base,0,1.0,ok,1.0,0.0,1.0,0.7772998508568416,0.7772998508568416,559,1,True,gpt-4o-mini-2024-07-18,,1,e21d2cd53ebf277164b8e31f
neutral|full|base,neutral,full,base,7,A,L,p7_B_2021_base,p7_A_2021_base,0,1.0,ok,0.0,0.0,1.0,0.9770226305081272,0.02297736949187279,559,1,True,gpt-4o-mini-2024-07-18,,1,0b03f55deb65fa78bb8dfd70
neutral|full|base,neutral,full,base,8,A,W,p8_A_2021_base,p8_B_2021_base,0,1.0,ok,1.0,0.0,1.0,0.9241418199787564,0.9241418199787564,690,1,True,gpt-4o-mini-2024-07-18,,1,067bb56570ca3ee0b7125bd7
neutral|full|base,neutral,full,base,8,A,L,p8_B_2021_base,p8_A_2021_base,0,1.0,ok,0.0,0.0,1.0,0.9999038975892416,9.610241075841408e-05,690,1,True,gpt-4o-mini-2024-07-18,,1,0f414a34b91b1f8e42f77f1f
neutral|full|base,neutral,full,base,10,A,W,p10_A_2021_base,p10_B_2021_base,0,2.0,ok,0.0,0.0,0.0,0.029312233242257107,0.029312233242257107,488,1,True,gpt-4o-mini-2024-07-18,,2,8dd6ad4bcdb2ff12bb31ba52
neutral|full|base,neutral,full,base,10,A,L,p10_B_2021_base,p10_A_2021_base,0,1.0,ok,0.0,0.0,1.0,0.5,0.5,488,1,True,gpt-4o-mini-2024-07-18,,1,982ee2838d09de5831ec5231
neutral|full|base,neutral,full,base,11,A,W,p11_A_2021_base,p11_B_2021_base,0,2.0,ok,0.0,0.0,0.0,0.03732688895048618,0.03732688895048618,718,1,True,gpt-4o-mini-2024-07-18,,2,06e23b8c45555a5ce020029d
neutral|full|base,neutral,full,base,12,A,W,p12_A_2021_base,p12_B_2021_base,0,1.0,ok,1.0,0.0,1.0,0.9046505261034854,0.9046505261034854,605,1,True,gpt-4o-mini-2024-07-18,,1,cef1ffd78ab920e20a28d160
neutral|full|base,neutral,full,base,12,A,L,p12_B_2021_base,p12_A_2021_base,0,1.0,ok,0.0,0.0,1.0,0.9980732656709094,0.0019267343290906291,605,1,True,gpt-4o-mini-2024-07-18,,1,26a3a942f0f54a2ffb64ff91
neutral|full|base,neutral,full,base,13,A,W,p13_A_2021_base,p13_B_2021_base,0,1.0,ok,1.0,0.0,1.0,0.9914225164237013,0.9914225164237013,615,1,True,gpt-4o-mini-2024-07-18,,1,d24158c9304056370a4bfaaa
neutral|full|base,neutral,full,base,11,A,L,p11_B_2021_base,p11_A_2021_base,0,1.0,ok,0.0,0.0,1.0,0.9997965730844881,0.00020342691551189507,718,1,True,gpt-4o-mini-2024-07-18,,1,18bf1254a9e9d61bb7c34bec
neutral|full|base,neutral,full,base,13,A,L,p13_B_2021_base,p13_A_2021_base,0,1.0,ok,0.0,0.0,1.0,0.7310585727705127,0.26894142722948733,615,1,True,gpt-4o-mini-2024-07-18,,1,8dc483630ca55ef1e4c3a749
neutral|full|base,neutral,full,base,14,A,W,p14_A_2021_base,p14_B_2021_base,0,2.0,ok,0.0,0.0,0.0,0.005220125688722155,0.005220125688722155,781,1,True,gpt-4o-mini-2024-07-18,,2,9cdc23b5f88332d62fc63f13
neutral|full|base,neutral,full,base,14,A,L,p14_B_2021_base,p14_A_2021_base,0,1.0,ok,0.0,0.0,1.0,0.9999832985809051,1.670141909493328e-05,781,1,True,gpt-4o-mini-2024-07-18,,1,8a2234968dc08bf35f4194f6
neutral|full|base,neutral,full,base,15,A,L,p15_B_2021_base,p15_A_2021_base,0,1.0,ok,0.0,0.0,1.0,0.999569442882051,0.0004305571179490375,600,1,True,gpt-4o-mini-2024-07-18,,1,4f192186c09890a3e97bcbd5
neutral|full|base,neutral,full,base,15,A,W,p15_A_2021_base,p15_B_2021_base,0,1.0,ok,1.0,0.0,1.0,0.9988304896609661,0.9988304896609661,600,1,True,gpt-4o-mini-2024-07-18,,1,ff8b9efb661982d2f449a739
neutral|full|base,neutral,full,base,16,A,W,p16_A_2021_base,p16_B_2021_base,0,1.0,ok,1.0,0.0,1.0,0.9947798738276535,0.9947798738276535,1158,1,True,gpt-4o-mini-2024-07-18,,1,a4d74c27a93b0aa537fd7680
neutral|full|base,neutral,full,base,16,A,L,p16_B_2021_base,p16_A_2021_base,0,1.0,ok,0.0,0.0,1.0,0.999991060305166,8.939694833953737e-06,1158,1,True,gpt-4o-mini-2024-07-18,,1,329f0c5b23c32f40dcc1b102
neutral|full|base,neutral,full,base,17,A,W,p17_A_2021_base,p17_B_2021_base,0,1.0,ok,1.0,0.0,1.0,0.9998415637342705,0.9998415637342705,886,1,True,gpt-4o-mini-2024-07-18,,1,c295b3e4c4cbbc7058aa9e38
neutral|full|base,neutral,full,base,17,A,L,p17_B_2021_base,p17_A_2021_base,0,1.0,ok,0.0,0.0,1.0,0.9997388096110635,0.00026119038893646085,886,1,True,gpt-4o-mini-2024-07-18,,1,dbf268f79c6d051ae7356d86
neutral|full|base,neutral,full,base,18,A,W,p18_A_2021_base,p18_B_2021_base,0,2.0,ok,0.0,0.0,0.0,0.26894141551050293,0.26894141551050293,458,1,True,gpt-4o-mini-2024-07-18,,2,78d5ccaab5e900dbadd32c28
neutral|full|base,neutral,full,base,18,A,L,p18_B_2021_base,p18_A_2021_base,0,2.0,ok,1.0,0.0,0.0,0.0085774846138036,0.9914225153861964,458,1,True,gpt-4o-mini-2024-07-18,,2,134d56666487a06f7d67ed41
neutral|full|base,neutral,full,base,19,A,W,p19_A_2021_base,p19_B_2021_base,0,1.0,ok,1.0,0.0,1.0,0.9999687980863308,0.9999687980863308,880,1,True,gpt-4o-mini-2024-07-18,,1,71bbebfa1691a7e26771e0a4
neutral|full|base,neutral,full,base,20,A,W,p20_A_2021_base,p20_B_2021_base,0,2.0,ok,0.0,0.0,0.0,0.1480472036701053,0.1480472036701053,565,1,True,gpt-4o-mini-2024-07-18,,2,5a15cf4012b59b928a37f5ba
neutral|full|base,neutral,full,base,20,A,L,p20_B_2021_base,p20_A_2021_base,0,1.0,ok,0.0,0.0,1.0,0.9999998362623796,1.6373762035115647e-07,565,1,True,gpt-4o-mini-2024-07-18,,1,7822dc1d46e0853e0e72b9b3
neutral|full|base,neutral,full,base,19,A,L,p19_B_2021_base,p19_A_2021_base,0,1.0,ok,0.0,0.0,1.0,0.9914225144041307,0.00857748559586935,880,1,True,gpt-4o-mini-2024-07-18,,1,f75d331526eb6bc36a23c75b
neutral|full|base,neutral,full,base,21,A,W,p21_A_2021_base,p21_B_2021_base,0,1.0,ok,1.0,0.0,1.0,0.9968273176994714,0.9968273176994714,1156,1,True,gpt-4o-mini-2024-07-18,,1,83869cbd06b479fd415e9929
neutral|full|base,neutral,full,base,21,A,L,p21_B_2021_base,p21_A_2021_base,0,1.0,ok,0.0,0.0,1.0,0.9990889487068412,0.0009110512931588266,1156,1,True,gpt-4o-mini-2024-07-18,,1,7d0bc70da7695c153fa4e255
neutral|full|base,neutral,full,base,22,A,W,p22_A_2021_base,p22_B_2021_base,0,1.0,ok,1.0,0.0,1.0,0.9947798744273476,0.9947798744273476,871,1,True,gpt-4o-mini-2024-07-18,,1,5430945b30ca24b7dc852047
neutral|full|base,neutral,full,base,22,A,L,p22_B_2021_base,p22_A_2021_base,0,1.0,ok,0.0,0.0,1.0,0.9959298622916543,0.004070137708345745,871,1,True,gpt-4o-mini-2024-07-18,,1,4856cca777f89b32c407656c
neutral|full|base,neutral,full,base,23,A,L,p23_B_2021_base,p23_A_2021_base,0,2.0,ok,1.0,0.0,0.0,0.010986941041758784,0.9890130589582412,463,1,True,gpt-4o-mini-2024-07-18,,2,35dfc55591b815a4e0897d7c
neutral|full|base,neutral,full,base,23,A,W,p23_A_2021_base,p23_B_2021_base,0,1.0,ok,1.0,0.0,1.0,0.9820137867150733,0.9820137867150733,463,1,True,gpt-4o-mini-2024-07-18,,1,83a676734a422fd8bedd36bb
neutral|full|base,neutral,full,base,24,A,W,p24_A_2021_base,p24_B_2021_base,0,1.0,ok,1.0,0.0,1.0,0.9975273767468863,0.9975273767468863,715,1,True,gpt-4o-mini-2024-07-18,,1,685b5ffd45888d2f1b27c9fc
neutral|full|base,neutral,full,base,24,A,L,p24_B_2021_base,p24_A_2021_base,0,1.0,ok,0.0,0.0,1.0,0.9399133487740403,0.060086651225959686,715,1,True,gpt-4o-mini-2024-07-18,,1,92e18ac3a65a39c5d2cd4307
neutral|full|base,neutral,full,base,25,A,W,p25_A_2021_base,p25_B_2021_base,0,1.0,ok,1.0,0.0,1.0,0.817574478416099,0.817574478416099,714,1,True,gpt-4o-mini-2024-07-18,,1,f9c61ca3ec9ac5356ce86027
neutral|full|base,neutral,full,base,26,A,W,p26_A_2021_base,p26_B_2021_base,0,1.0,ok,1.0,0.0,1.0,0.9999756997545804,0.9999756997545804,626,1,True,gpt-4o-mini-2024-07-18,,1,0a6902f257f6fc752206c37a
